"state_alpha","GEOID","crop","yield_prediction","drought_prediction"
"MN","27145","BARLEY",1,1
"MN","27145","CORN",1,1
"MN","27145","OATS",1,1
"MN","27145","SOYBEANS",1,1
"MN","27145","SUGARBEETS",1,NA
"MT","30083","BARLEY",1,1
"MT","30083","CORN",1,NA
"MT","30083","OATS",1,1
"MT","30083","SUGARBEETS",1,NA
"MT","30083","WHEAT",1,1
"ND","38101","BARLEY",1,NA
"ND","38101","CORN",1,1
"ND","38101","OATS",1,1
"ND","38101","SOYBEANS",1,1
"ND","38101","WHEAT",1,NA
"PA","42001","BARLEY",1,NA
"PA","42001","CORN",1,1
"PA","42001","OATS",1,NA
"PA","42001","SOYBEANS",1,1
"PA","42001","WHEAT",1,NA
"PA","42043","BARLEY",1,NA
"PA","42043","CORN",1,1
"PA","42043","OATS",1,1
"PA","42043","SOYBEANS",1,1
"PA","42043","WHEAT",1,NA
"PA","42055","BARLEY",1,NA
"PA","42055","CORN",1,1
"PA","42055","OATS",1,1
"PA","42055","SOYBEANS",1,1
"PA","42055","WHEAT",1,NA
"PA","42057","BARLEY",1,NA
"PA","42057","CORN",1,1
"PA","42057","OATS",1,1
"PA","42057","SOYBEANS",1,1
"PA","42057","WHEAT",1,1
"PA","42067","BARLEY",1,NA
"PA","42067","CORN",1,1
"PA","42067","OATS",1,1
"PA","42067","SOYBEANS",1,1
"PA","42067","WHEAT",1,NA
"PA","42099","BARLEY",1,NA
"PA","42099","CORN",1,1
"PA","42099","OATS",1,1
"PA","42099","SOYBEANS",1,1
"PA","42099","WHEAT",1,NA
"PA","42107","BARLEY",1,1
"PA","42107","CORN",1,1
"PA","42107","OATS",1,1
"PA","42107","SOYBEANS",1,1
"PA","42107","WHEAT",1,NA
"PA","42133","BARLEY",1,NA
"PA","42133","CORN",1,1
"PA","42133","OATS",1,NA
"PA","42133","SOYBEANS",1,1
"PA","42133","WHEAT",1,NA
"AR","05035","CORN",1,1
"AR","05035","COTTON",1,NA
"AR","05035","SORGHUM",1,NA
"AR","05035","SOYBEANS",1,1
"AR","05035","WHEAT",1,NA
"AR","05077","CORN",1,1
"AR","05077","COTTON",1,NA
"AR","05077","SORGHUM",1,NA
"AR","05077","SOYBEANS",1,1
"AR","05077","WHEAT",1,NA
"GA","13031","CORN",1,1
"GA","13031","COTTON",1,1
"GA","13031","PEANUTS",1,1
"GA","13031","SOYBEANS",1,1
"GA","13031","WHEAT",1,1
"GA","13033","CORN",1,1
"GA","13033","COTTON",1,1
"GA","13033","PEANUTS",1,1
"GA","13033","SOYBEANS",1,1
"GA","13033","WHEAT",1,1
"GA","13163","CORN",1,1
"GA","13163","COTTON",1,1
"GA","13163","PEANUTS",1,1
"GA","13163","SOYBEANS",1,1
"GA","13163","WHEAT",1,1
"GA","13175","CORN",1,1
"GA","13175","COTTON",1,1
"GA","13175","PEANUTS",1,1
"GA","13175","SOYBEANS",1,1
"GA","13175","WHEAT",1,NA
"GA","13243","CORN",1,1
"GA","13243","COTTON",1,1
"GA","13243","PEANUTS",1,1
"GA","13243","SOYBEANS",1,1
"GA","13243","WHEAT",1,1
"GA","13251","CORN",1,1
"GA","13251","COTTON",1,1
"GA","13251","PEANUTS",1,1
"GA","13251","SOYBEANS",1,1
"GA","13251","WHEAT",1,1
"GA","13273","CORN",1,1
"GA","13273","COTTON",1,1
"GA","13273","PEANUTS",1,1
"GA","13273","SOYBEANS",1,1
"GA","13273","WHEAT",1,1
"KS","20151","CORN",1,1
"KS","20151","COTTON",1,1
"KS","20151","SORGHUM",1,1
"KS","20151","SOYBEANS",1,1
"KS","20151","WHEAT",1,1
"KS","20191","CORN",1,1
"KS","20191","COTTON",1,1
"KS","20191","SORGHUM",1,1
