"year","crop","GEOID","state_alpha","state_ansi","county_ansi","county_name","Yield_mg_ha","short_desc","Mean.percent.irrigated","SD.percent.irrigated","irrigated","Detrend_resids","Detrend_predictions","County_avg_yield","Yield_decomp_add","Yield_decomp_mult"
2000,"BARLEY","04021","AZ","04","021","PINAL",7.17176,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",0.105312581250885,7.06644741874935,7.532232,7.63754458125088,1.0149031861429
2001,"BARLEY","04021","AZ","04","021","PINAL",7.12152,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",-0.0171604464874395,7.13868044648747,7.532232,7.51507155351256,0.997596131859927
2002,"BARLEY","04021","AZ","04","021","PINAL",6.9394,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",-0.251466658282493,7.19086665828252,7.532232,7.28076534171751,0.965029714743371
2003,"BARLEY","04021","AZ","04","021","PINAL",7.71812,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",0.690659020998991,7.02746097900105,7.532232,8.22289102099899,1.09828002219617
2004,"BARLEY","04021","AZ","04","021","PINAL",6.69448,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",-0.161109808785524,6.85558980878556,7.532232,7.37112219121448,0.976499497012045
2005,"BARLEY","04021","AZ","04","021","PINAL",5.92832,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",-0.845309096172182,6.77362909617221,7.532232,6.68692290382782,0.875205877946595
2006,"BARLEY","04021","AZ","04","021","PINAL",7.25968,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",0.343672808803271,6.91600719119677,7.532232,7.87590480880327,1.04969237296929
2007,"BARLEY","04021","AZ","04","021","PINAL",7.0336,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",-0.29414427269889,7.32774427269892,7.532232,7.23808772730111,0.959858823977411
2008,"BARLEY","04021","AZ","04","021","PINAL",8.164,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",0.513122682383781,7.65087731761624,7.532232,8.04535468238378,1.06706716904247
2009,"BARLEY","04021","AZ","04","021","PINAL",7.3476,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",-0.541205522417527,7.88880552241757,7.532232,6.99102647758247,0.931395758092955
2010,"BARLEY","04021","AZ","04","021","PINAL",8.635,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",0.626780196377304,8.00821980362273,7.532232,8.1590121963773,1.07826710701594
2016,"BARLEY","04021","AZ","04","021","PINAL",7.4418,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",-0.289948358468068,7.7317483584681,7.532232,7.24228364153193,0.962498991815928
2021,"BARLEY","04021","AZ","04","021","PINAL",8.59104,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",0.205166204927119,8.38587379507292,7.532232,7.73739820492712,1.02446569194109
2022,"BARLEY","04021","AZ","04","021","PINAL",8.3838,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",-0.0853188059367316,8.46911880593676,7.532232,7.44691319406327,0.989925893367211
2023,"BARLEY","04021","AZ","04","021","PINAL",8.55336,"BARLEY - YIELD, MEASURED IN BU / ACRE",1,0,"irrigated",0.000949474507557113,8.55241052549246,7.532232,7.53318147450756,1.00011101835029
2000,"BARLEY","06079","CA","06","079","SAN LUIS OBISPO",2.512,"BARLEY - YIELD, MEASURED IN BU / ACRE",0.0621727505049328,0.0938210285157233,"irrigated",0.156935199109523,2.35506480089044,2.4021,2.55903519910952,1.06663731675248
2001,"BARLEY","06079","CA","06","079","SAN LUIS OBISPO",1.93424,"BARLEY - YIELD, MEASURED IN BU / ACRE",0.0621727505049328,0.0938210285157233,"irrigated",-0.441942631813113,2.3761826318131,2.4021,1.96015736818689,0.814011504883408
