"year","crop","GEOID","state_alpha","state_ansi","county_ansi","county_name","Yield_mg_ha","short_desc","Mean.percent.irrigated","SD.percent.irrigated","irrigated","Detrend_resids","Detrend_predictions","County_avg_yield","Yield_decomp_add","Yield_decomp_mult"
2000,"OATS","17015","IL","17","015","CARROLL",4.2704,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.40860690315851,4.67900690315853,4.82387733333333,4.41527043017482,0.912672301705153
2001,"OATS","17015","IL","17","015","CARROLL",4.6472,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.0501321734093656,4.69733217340937,4.82387733333333,4.77374515992397,0.989327522185218
2002,"OATS","17015","IL","17","015","CARROLL",4.8984,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",0.18199866263943,4.71640133736058,4.82387733333333,5.00587599597276,1.03858845963717
2003,"OATS","17015","IL","17","015","CARROLL",5.5264,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",0.783735725218599,4.74266427478141,4.82387733333333,5.60761305855193,1.1652522042064
2004,"OATS","17015","IL","17","015","CARROLL",4.2704,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.519395232834522,4.78979523283453,4.82387733333333,4.30448210049881,0.891562121638516
2005,"OATS","17015","IL","17","015","CARROLL",5.024,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",0.160880515240605,4.8631194847594,4.82387733333333,4.98475784857394,1.03308175251395
2011,"OATS","17015","IL","17","015","CARROLL",5.024,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",0.146368980328301,4.8776310196717,4.82387733333333,4.97024631366163,1.03000821089951
2012,"OATS","17015","IL","17","015","CARROLL",4.7728,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.134598303212782,4.90739830321279,4.82387733333333,4.68927903012055,0.972572370348527
2015,"OATS","17015","IL","17","015","CARROLL",4.91096,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.0950875586237983,5.0060475586238,4.82387733333333,4.72878977470953,0.981005462391183
2016,"OATS","17015","IL","17","015","CARROLL",4.3332,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.624431551621091,4.9576315516211,4.82387733333333,4.19944578171224,0.874046397938364
2017,"OATS","17015","IL","17","015","CARROLL",5.966,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",1.15329308877634,4.81270691122367,4.82387733333333,5.97717042210967,1.23963501415113
2019,"OATS","17015","IL","17","015","CARROLL",4.2704,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.357210610575952,4.62761061057596,4.82387733333333,4.46666672275738,0.922808844426196
2020,"OATS","17015","IL","17","015","CARROLL",3.611,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-1.21572050907208,4.82672050907208,4.82387733333333,3.60815682426126,0.748127013613681
2022,"OATS","17015","IL","17","015","CARROLL",5.89692,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",0.988960655978403,4.9079593440216,4.82387733333333,5.81283798931174,1.20150139531678
2023,"OATS","17015","IL","17","015","CARROLL",4.93608,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.0100547856735727,4.94613478567358,4.82387733333333,4.81382254765976,0.997967142807612
2000,"OATS","17037","IL","17","037","DE KALB",4.2076,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.989565666700606,5.19716566670069,5.61332842105263,4.62376275435203,0.8095951273901
2001,"OATS","17037","IL","17","037","DE KALB",5.9032,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",0.621903618038534,5.28129638196148,5.61332842105263,6.23523203909116,1.11775586391301
2002,"OATS","17037","IL","17","037","DE KALB",5.7776,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",0.352910392838615,5.4246896071614,5.61332842105263,5.96623881389125,1.06505632919028
2003,"OATS","17037","IL","17","037","DE KALB",6.3428,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",0.688667807626955,5.65413219237306,5.61332842105263,6.30199622867959,1.12179902842666
2004,"OATS","17037","IL","17","037","DE KALB",4.8356,"OATS - YIELD, MEASURED IN BU / ACRE",0,0,"rainfed",-0.902275098578097,5.73787509857812,5.61332842105263,4.71105332247453,0.842751003973281
