"year","crop","GEOID","state_alpha","state_ansi","county_ansi","county_name","Yield_mg_ha","short_desc","Mean.percent.irrigated","SD.percent.irrigated","irrigated","Detrend_resids","Detrend_predictions","County_avg_yield","Yield_decomp_add","Yield_decomp_mult"
2000,"PEANUTS","01003","AL","01","003","BALDWIN",214.462,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",9.32823289028639,205.133767109713,234.087,243.415232890286,1.04547390233075
2001,"PEANUTS","01003","AL","01","003","BALDWIN",241.152,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",35.4457394221211,205.706260577879,234.087,269.532739422121,1.17231239983919
2002,"PEANUTS","01003","AL","01","003","BALDWIN",171.758,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-35.1511179055428,206.909117905543,234.087,198.935882094457,0.830113248457276
2003,"PEANUTS","01003","AL","01","003","BALDWIN",184.004,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-24.0364111151847,208.040411115185,234.087,210.050588884815,0.884462778234577
2004,"PEANUTS","01003","AL","01","003","BALDWIN",217.602,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",7.71387830660456,209.888121693396,234.087,241.800878306605,1.03675233378796
2005,"PEANUTS","01003","AL","01","003","BALDWIN",214.462,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",2.89197584432804,211.570024155672,234.087,236.978975844328,1.01366911903456
2006,"PEANUTS","01003","AL","01","003","BALDWIN",204.728,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-12.963017249352,217.691017249352,234.087,221.123982750648,0.940452217950253
2007,"PEANUTS","01003","AL","01","003","BALDWIN",216.346,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-8.20984064665004,224.55584064665,234.087,225.87715935335,0.963439647692936
2008,"PEANUTS","01003","AL","01","003","BALDWIN",245.862,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",14.7271489159489,231.134851084051,234.087,248.814148915949,1.06371669545668
2009,"PEANUTS","01003","AL","01","003","BALDWIN",236.442,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-0.9696403080371,237.411640308037,234.087,233.117359691963,0.995915784471312
2010,"PEANUTS","01003","AL","01","003","BALDWIN",255.4704,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",12.3179059072915,243.152494092709,234.087,246.404905907291,1.05065917975982
2011,"PEANUTS","01003","AL","01","003","BALDWIN",232.1088,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-16.7734653974404,248.882265397441,234.087,217.31353460256,0.932604818705523
2012,"PEANUTS","01003","AL","01","003","BALDWIN",261.1852,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",8.170747842688,253.014452157312,234.087,242.257747842688,1.03229360130625
2013,"PEANUTS","01003","AL","01","003","BALDWIN",255.0308,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-1.54448652419151,256.575286524192,234.087,232.542513475808,0.993980376890095
2014,"PEANUTS","01003","AL","01","003","BALDWIN",257.794,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-1.44668431448753,259.240684314488,234.087,232.640315685512,0.994419532110427
2015,"PEANUTS","01003","AL","01","003","BALDWIN",267.2768,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",6.11064975985869,261.166150240142,234.087,240.197649759859,1.02339755651427
2016,"PEANUTS","01003","AL","01","003","BALDWIN",270.04,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",8.5652625423424,261.474737457658,234.087,242.652262542342,1.03275751464796
2017,"PEANUTS","01003","AL","01","003","BALDWIN",250.7604,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-8.49701879499818,259.257418794998,234.087,225.589981205002,0.967225551984234
2018,"PEANUTS","01003","AL","01","003","BALDWIN",268.0932,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",13.5680401369655,254.525159863035,234.087,247.655040136966,1.05330726496456
2019,"PEANUTS","01003","AL","01","003","BALDWIN",260.9968,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",13.0026669250815,247.994133074919,234.087,247.089666925082,1.05243134893499
2020,"PEANUTS","01003","AL","01","003","BALDWIN",237.07,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-3.52323046793538,240.593230467935,234.087,230.563769532065,0.985356069823398
2021,"PEANUTS","01003","AL","01","003","BALDWIN",218.858,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-13.9992000913197,232.85720009132,234.087,220.08779990868,0.939880750580915
2022,"PEANUTS","01003","AL","01","003","BALDWIN",235.7512,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",10.9162015653493,224.834998434651,234.087,245.003201565349,1.04855205658082
2023,"PEANUTS","01003","AL","01","003","BALDWIN",200.8344,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.0324840572103553,0.0336490935151585,"rainfed",-15.6443372437282,216.478737243729,234.087,218.442662756272,0.927732684313864
2000,"PEANUTS","01005","AL","01","005","BARBOUR",87.292,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",-49.6776010234556,136.969601023466,194.129072727273,144.451471703817,0.637309295987838
2001,"PEANUTS","01005","AL","01","005","BARBOUR",163.594,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",21.4508141462431,142.143185853757,194.129072727273,215.579886873516,1.15090990129005
2002,"PEANUTS","01005","AL","01","005","BARBOUR",151.976,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",4.26471140956528,147.711288590435,194.129072727273,198.393784136838,1.02887193964836
2003,"PEANUTS","01005","AL","01","005","BARBOUR",177.724,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",22.5773065617449,155.146693438255,194.129072727273,216.706379289018,1.14552231866115
2004,"PEANUTS","01005","AL","01","005","BARBOUR",164.536,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",3.03498817392145,161.501011826079,194.129072727273,197.164060901194,1.01879237869537
2005,"PEANUTS","01005","AL","01","005","BARBOUR",176.468,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",15.9930902544193,160.474909745582,194.129072727273,210.122162981692,1.09966100170908
2006,"PEANUTS","01005","AL","01","005","BARBOUR",141.3,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",-26.4605521331989,167.760552133199,194.129072727273,167.668520594074,0.842271906018825
2007,"PEANUTS","01005","AL","01","005","BARBOUR",128.426,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",-48.7754518350872,177.201451835088,194.129072727273,145.353620892185,0.72474575501514
2008,"PEANUTS","01005","AL","01","005","BARBOUR",247.746,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",63.8838752090253,183.862124790975,194.129072727273,258.012947936298,1.34745532981114
2009,"PEANUTS","01005","AL","01","005","BARBOUR",215.404,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",20.6176455101662,194.786354489834,194.129072727273,214.746718237439,1.10584748384539
2010,"PEANUTS","01005","AL","01","005","BARBOUR",176.9704,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",-29.6044565384923,206.574856538492,194.129072727273,164.52461618878,0.85668896479192
2011,"PEANUTS","01005","AL","01","005","BARBOUR",185.6368,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",-19.5355716502303,205.172371650231,194.129072727273,174.593501077042,0.904784589206123
2012,"PEANUTS","01005","AL","01","005","BARBOUR",265.4556,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",62.4266108829563,203.028989117045,194.129072727273,256.555683610229,1.30747634194724
2013,"PEANUTS","01005","AL","01","005","BARBOUR",186.3904,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",-16.2700607954492,202.660460795449,194.129072727273,177.859011931824,0.919717636427013
2014,"PEANUTS","01005","AL","01","005","BARBOUR",184.1924,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",-22.8392245977496,207.031624597751,194.129072727273,171.289848129523,0.889682435511359
2016,"PEANUTS","01005","AL","01","005","BARBOUR",182.5596,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",-32.2316612839543,214.791261283955,194.129072727273,161.897411443318,0.849939606056204
2017,"PEANUTS","01005","AL","01","005","BARBOUR",265.5812,"PEANUTS - YIELD, MEASURED IN LB / ACRE",0.111380343307422,0.107350263490444,"irrigated",44.0468908976073,221.534309102392,194.129072727273,238.17596362488,1.19882649814413
