"year","crop","GEOID","state_alpha","state_ansi","county_ansi","county_name","Yield_mg_ha","short_desc","Mean.percent.irrigated","SD.percent.irrigated","irrigated","Detrend_resids","Detrend_predictions","County_avg_yield","Yield_decomp_add","Yield_decomp_mult"
2000,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.59992,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",-0.0168823323753755,2.61680233237539,2.72849473684211,2.71161240446673,0.993548487722392
2001,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.56852,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",-0.0677100716377956,2.63623007163779,2.72849473684211,2.66078466520431,0.974315568141695
2002,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.66272,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",0.0167838415338779,2.64593615846612,2.72849473684211,2.74527857837598,1.00634325264431
2003,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.826,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",0.177013687106087,2.64898631289391,2.72849473684211,2.90550842394819,1.06682317920801
2004,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.7004,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",0.0716200711125108,2.62877992888749,2.72849473684211,2.80011480795462,1.02724460512098
2005,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.42408,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",-0.190648738529936,2.61472873852994,2.72849473684211,2.53784599831217,0.927086609130581
2006,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.51828,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",-0.0978991256154673,2.61617912561547,2.72849473684211,2.63059561122664,0.962579349152005
2007,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.63132,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",-0.015672308278126,2.64699230827813,2.72849473684211,2.71282242856398,0.99407920142831
2008,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.83856,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",0.12743093931467,2.71112906068533,2.72849473684211,2.85592567615678,1.04700290412676
2009,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.75692,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",-0.0180102855220188,2.77493028552202,2.72849473684211,2.71048445132009,0.993509643966198
2010,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.80088,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",0.000715037613923553,2.80016496238608,2.72849473684211,2.72920977445603,1.00025535553209
2011,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.9202,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",0.129886687084926,2.79031331291508,2.72849473684211,2.85838142392703,1.04654914073045
2012,"SUGARBEETS","06025","CA","06","025","IMPERIAL",2.74436,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",1,0,"irrigated",-0.029402330233669,2.77376233023367,2.72849473684211,2.69909240660844,0.989399837933774
