"year","crop","GEOID","state_alpha","state_ansi","county_ansi","county_name","Yield_mg_ha","short_desc","Mean.percent.irrigated","SD.percent.irrigated","irrigated","Detrend_resids","Detrend_predictions","County_avg_yield","Yield_decomp_add","Yield_decomp_mult"
2000,"TOBACCO","21001","KY","21","001","ADAIR",120.89,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",1.0451150714246,119.844884928576,121.186555555556,122.23167062698,1.00872056468698
2001,"TOBACCO","21001","KY","21","001","ADAIR",115.866,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-1.48812513344295,117.354125133443,121.186555555556,119.698430422113,0.987319362384996
2002,"TOBACCO","21001","KY","21","001","ADAIR",118.692,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",3.82895754751412,114.863042452486,121.186555555556,125.01551310307,1.03333498282616
2003,"TOBACCO","21001","KY","21","001","ADAIR",108.33,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-6.43601567295123,114.766015672951,121.186555555556,114.750539882604,0.943920544464208
2004,"TOBACCO","21001","KY","21","001","ADAIR",115.552,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-0.878760982165502,116.430760982166,121.186555555556,120.30779457339,0.992452501600499
2005,"TOBACCO","21001","KY","21","001","ADAIR",122.774,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",1.47006714814874,121.303932851851,121.186555555556,122.656622703704,1.01211887457882
2006,"TOBACCO","21001","KY","21","001","ADAIR",123.088,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-4.97187259456953,128.059872594569,121.186555555556,116.214682960986,0.961175405739234
2007,"TOBACCO","21001","KY","21","001","ADAIR",141.3,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",8.25104857324854,133.048951426751,121.186555555556,129.437604128804,1.06201513416505
2008,"TOBACCO","21001","KY","21","001","ADAIR",134.706,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-1.39342275816753,136.099422758167,121.186555555556,119.793132797388,0.989761729110024
2009,"TOBACCO","21001","KY","21","001","ADAIR",140.358,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",5.44010935300824,134.917890646992,121.186555555556,126.626664908564,1.04032163063713
2010,"TOBACCO","21001","KY","21","001","ADAIR",127.484,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-5.36483320504998,132.84883320505,121.186555555556,115.821722350506,0.959617009230564
2011,"TOBACCO","21001","KY","21","001","ADAIR",130.31,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",0.761851941003926,129.548148058996,121.186555555556,121.948407496559,1.00588084007698
2012,"TOBACCO","21001","KY","21","001","ADAIR",130.624,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",3.2756018690513,127.348398130949,121.186555555556,124.462157424607,1.02572157889009
2013,"TOBACCO","21001","KY","21","001","ADAIR",115.238,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-9.93661447717085,125.174614477171,121.186555555556,111.249941078385,0.920617974190102
2014,"TOBACCO","21001","KY","21","001","ADAIR",136.59,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",17.4041548956857,119.185845104314,121.186555555556,138.590710451241,1.14602535125252
2015,"TOBACCO","21001","KY","21","001","ADAIR",99.852,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-14.4413423225285,114.293342322528,121.186555555556,106.745213233027,0.873646688170376
2016,"TOBACCO","21001","KY","21","001","ADAIR",111.156,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",5.07575099239186,106.080249007608,121.186555555556,126.262306547947,1.0478482190594
2018,"TOBACCO","21001","KY","21","001","ADAIR",88.548,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.00648512934481568,0.00754460146754728,"rainfed",-1.6416702454304,90.1896702454305,121.186555555556,119.544885310125,0.981797580133478
2000,"TOBACCO","21003","KY","21","003","ALLEN",125.6,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.0191906738510095,0.0201044659724512,"rainfed",-1.98386934653674,127.583869346536,121.057466666667,119.07359732013,0.984450468882182
2001,"TOBACCO","21003","KY","21","003","ALLEN",132.194,"TOBACCO, AIR-CURED LIGHT BURLEY (TYPE 31) - YIELD, MEASURED IN LB / ACRE",0.0191906738510095,0.0201044659724512,"rainfed",6.35207061284409,125.841929387155,121.057466666667,127.409537279511,1.050476583153
